features,label
"[-3.7015027e+02  4.8958969e+01 -1.1278449e+01 -2.0206036e+01
 -1.1152035e+01  1.9179665e+00 -1.8439730e+01  4.4482632e+00
 -1.6986956e+01 -1.3229369e+00 -1.0120735e+01  9.5531654e+00
 -3.7290511e+00  7.3220077e+00 -2.7007303e+00 -6.5801811e-01
 -2.7304163e+00 -5.9334474e+00 -4.4406199e+00 -1.2053888e+01
 -1.0058385e+00  6.9421825e+00  3.9327078e+00  2.1910810e+01
  2.7827730e+01  2.9245152e+01  1.9046255e+01  1.4467771e+01
  3.1374180e+00  5.9901586e+00  4.8490958e+00  1.0904214e+01
  5.9505486e+00  6.0900986e-01 -3.0305851e-01  2.4547632e+00
  4.1372066e+00  4.2228923e+00 -3.4896231e+00  1.0123788e+00]",angry
"[-4.36449982e+02  7.75393677e+01  5.18008232e+00 -1.82199917e+01
 -2.98771834e+00  1.73313007e+01 -1.65538826e+01 -1.06798811e+01
 -1.51145086e+01 -1.37898171e+00 -1.31004953e+01  1.32888213e-01
 -4.29497433e+00  9.09096622e+00  2.77452064e+00 -2.52848101e+00
 -1.68771052e+00  1.77927387e+00 -1.94649851e+00 -8.93706322e+00
 -7.60076904e+00 -1.44253516e+00 -5.20804596e+00  2.72742319e+00
  3.81727791e+00  7.62747049e+00  1.21421795e+01  1.85750694e+01
  1.51613398e+01  2.27514591e+01  1.63144341e+01  1.21877041e+01
  7.33252382e+00 -6.52340710e-01  4.80457401e+00  4.65762186e+00
  5.82797050e+00  5.50457382e+00 -1.69427681e+00  4.77653027e+00]",angry
"[-4.2096948e+02  6.2337212e+01 -1.9372086e+01 -1.3736225e+01
  1.3360898e+00  2.9239626e+00 -1.7902905e+01 -1.9112265e+00
 -1.2120282e+01 -3.7306136e-01 -9.5055323e+00  1.2133436e+01
 -1.1505719e+00  5.4782200e+00  2.3595626e+00  3.7814295e-01
 -6.0256901e+00 -1.7247283e+00 -1.6418281e+00 -9.2329273e+00
  3.8379881e-01  2.2154717e+00 -4.8847008e+00  6.2073407e+00
  5.8260112e+00  1.3792349e+01  1.7525068e+01  2.2941935e+01
  2.0860703e+01  2.1545263e+01  1.1437905e+01  1.3734823e+01
  2.6521850e+00  3.1435790e+00  3.8778880e+00  2.2302370e+00
  2.8048310e+00  6.3432536e+00  3.3859606e+00  4.7703881e+00]",angry
"[-4.0032874e+02  6.8790283e+01 -6.5534368e+00 -2.5164923e+01
 -1.0974452e+01 -2.8549540e+00 -8.2748737e+00  2.4318759e+00
 -1.6309050e+01 -3.7742064e+00 -1.5294318e+01  6.4389915e+00
 -1.0284146e-01  1.1389251e+01 -5.3139920e+00 -6.3728541e-01
  1.8494251e-01 -5.0037022e+00 -1.4100130e+00 -1.0031371e+01
 -4.0931177e+00  2.8074293e+00 -1.1099322e+01  6.1729107e+00
  1.1643040e+01  2.4886162e+01  2.3258402e+01  2.7128820e+01
  1.1975417e+01  1.1083576e+01  2.0954323e+00  1.0157731e+01
  8.1213026e+00  3.9988301e+00 -3.1000876e-01  3.9244866e-01
  3.6343794e+00  5.7664299e+00  6.1309676e+00  4.4004741e+00]",angry
"[-3.8266629e+02  4.4419571e+01 -1.4307401e+01  8.9069834e+00
  3.3998829e-01  2.0595386e+00 -2.2952820e+01 -8.9473715e+00
 -1.4956849e+01 -1.2165242e+01 -4.0636072e+00 -3.3279869e-01
  6.4914169e+00  3.0645540e+00  3.7428182e-01 -4.8515359e-03
 -2.4495368e+00 -3.2426894e+00 -3.9453826e+00 -7.9456668e+00
 -2.8096471e+00  1.4463063e+00 -5.0909696e+00  1.1826731e+01
  1.1746594e+01  2.5664074e+01  2.2977514e+01  2.0779385e+01
  1.2553905e+01  6.8655477e+00  9.6289504e-01  5.0099158e+00
  7.3624597e+00  6.2824697e+00  4.0888362e+00  1.9360236e+00
  2.8366416e+00  8.6142426e+00  1.6694506e+00  6.2846762e-01]",angry
"[-420.1995       50.32547     -11.387863    -11.950838    -10.4509115
    4.9356637    -9.830565     -1.3814805   -12.379786     -1.0790888
  -12.799522     13.66649       0.9280107     4.2513227     2.2911162
    1.5423       -6.0001125    -3.4320176    -4.2100205   -11.34794
   -0.5529927     2.6754317     0.5275562    12.110107     16.149626
   21.451376     17.768698     20.707159     11.148412      9.510758
    6.3235946    11.886051      5.549977      1.310093      3.3910441
    0.51639134    1.6525286     8.419279     -0.98210627    3.8996441 ]",angry
"[-3.7090762e+02  4.3617493e+01 -1.5514112e+01  8.4570742e+00
 -2.5941651e+00  2.1878271e-01 -2.5610384e+01 -8.1938686e+00
 -1.4364824e+01 -1.2172319e+01 -2.0612779e+00 -2.4840691e+00
  3.4213696e+00  3.6670821e+00 -1.1989181e+00  8.1175131e-01
 -3.7337890e+00 -7.1908325e-01 -4.3054352e+00 -8.1898804e+00
 -3.4085417e+00 -2.1194923e-01 -5.1535664e+00  1.3059805e+01
  1.2656797e+01  2.4098743e+01  2.0549513e+01  2.2115408e+01
  1.2037226e+01  7.6957459e+00 -4.8427066e-01  4.1511893e+00
  8.8796349e+00  6.3841047e+00  6.0897117e+00 -2.5922626e-01
  9.1352689e-01  8.0305357e+00  2.3016121e+00  7.4249142e-01]",angry
"[-391.70154      41.317745    -10.01031      -8.809758     -2.0971
    7.3652368   -28.089712     -6.4289527    -9.224116     -5.510846
   -8.080053      7.5284095    -1.2334603    15.231428     -5.7174406
   -1.7881833    -1.3303186    -7.4314184    -2.419502     -9.26124
   -0.71534467    6.9372416     0.71351767   18.961441     23.843264
   25.072298     17.108313     11.940763      0.6060608     8.208018
    7.6358504     9.92622       8.0217705    -2.3476143    -0.76285833
    4.815432      4.0941706     6.8246913    -3.9364908     0.56525993]",angry
"[-3.70698914e+02  4.81944427e+01 -2.04136810e+01 -9.58147240e+00
 -9.21152878e+00  6.46658516e+00 -2.04023476e+01  1.87302697e+00
 -1.27048731e+01 -3.50822306e+00 -1.08607674e+01  5.97109318e+00
 -3.03152680e+00  6.00533009e+00 -6.50276613e+00  9.77988020e-02
 -3.81672454e+00 -3.97713518e+00 -2.99526739e+00 -1.18287716e+01
  3.04371333e+00  1.09630795e+01  1.53243265e+01  2.84097805e+01
  2.88063641e+01  2.21951389e+01  7.22099066e+00  7.01642942e+00
 -2.21065545e+00  7.76174784e+00  7.73764324e+00  5.65123177e+00
  1.23341644e+00 -7.32886887e+00  2.35654640e+00  4.20892143e+00
  2.29138994e+00  7.08969757e-02 -8.01269245e+00  3.03364372e+00]",angry
"[-3.9292917e+02  4.8440136e+01 -1.7348919e+01 -1.2710091e+01
 -6.0014415e+00 -5.6689817e-01 -1.9445803e+01 -1.7816988e+00
 -1.1260321e+01 -1.4987794e-01 -1.3217362e+01  7.4810691e+00
 -2.3080628e+00  6.0898476e+00  2.0008467e-01 -1.1845093e+00
 -4.1294422e+00 -1.1640375e+00 -7.2585363e+00 -7.4147406e+00
 -1.7372714e+00 -8.7043744e-01 -3.9543426e+00  1.1662136e+01
  1.5042905e+01  2.3331512e+01  2.3006620e+01  2.6598919e+01
  1.2030266e+01  1.3044072e+01  6.5851936e+00  1.4358461e+01
  9.1299114e+00  5.7552443e+00  8.6737293e-01 -1.7074281e+00
  1.2748700e-01  7.9612432e+00  1.3727629e+00  1.4005721e+00]",angry
"[-3.7626309e+02  3.9303112e+01 -1.1678464e+01 -5.3199306e+00
 -2.3195109e+00  1.3001503e+00 -1.9199215e+01 -4.7986093e+00
 -8.3877268e+00  4.7363696e+00 -1.4776219e+01  9.0433388e+00
  5.3870562e-02  2.9623034e+00  7.2657388e-01 -2.8686273e+00
 -1.3197920e+00  2.0348933e+00 -3.2420201e+00 -8.6514149e+00
 -1.7141008e+00 -3.5536084e+00 -6.6825337e+00  6.8477917e+00
  8.5242014e+00  1.8576164e+01  1.9802416e+01  2.1893402e+01
  1.3889371e+01  1.1849863e+01  6.6890593e+00  9.1706095e+00
  5.2402844e+00  1.0922487e+00  4.1985130e+00  3.0422866e+00
  1.4429582e+00  5.3857021e+00 -2.8330028e+00  8.3606082e-01]",angry
"[-4.37931213e+02  2.36202183e+01 -2.06639624e+00  6.80607796e+00
  1.37415004e+00  2.62510991e+00 -1.57386227e+01  4.14036894e+00
 -1.02723722e+01 -4.00801229e+00 -9.51835823e+00  6.91180754e+00
 -2.58003759e+00  6.09467363e+00  6.40473068e-01  3.56570315e+00
 -2.99908757e-01 -3.39400697e+00 -1.94693244e+00 -2.84190440e+00
  4.26518440e+00  7.47369814e+00  4.32115173e+00  1.35187817e+01
  1.63622761e+01  1.81560154e+01  1.74474869e+01  1.94005566e+01
  1.07251625e+01  1.03965893e+01  5.57541990e+00  9.31312466e+00
  6.83795500e+00  1.57314479e+00  2.54730797e+00  1.22979641e+00
 -1.09088058e-02  6.13537025e+00  1.63663900e+00  3.61007476e+00]",angry
"[-402.88113      16.78739      -4.1503916     5.669309      6.9484262
    0.87893945  -17.22735      -0.49574295  -14.059069     -5.9151473
  -13.559562      3.4470584     2.078224      3.4475925    -2.4023168
    3.0238929    -2.0620143    -0.92242604   -5.6725554    -5.8282456
    2.9333565     5.7129083     2.8129265    18.191298     21.687105
   26.859213     18.019367     14.120494      3.5438204     3.9782004
    2.8455844     8.490911      6.1392856    -1.5177475    -2.0918033
    2.0239942     2.36176       5.5630302    -1.7321322     2.0165062 ]",angry
"[-3.82627441e+02  3.52548981e+01 -1.18309927e+01 -1.97153056e+00
 -2.57126880e+00 -4.42284159e-02 -2.04869518e+01 -2.24600697e+00
 -1.38277626e+01 -4.39511871e+00 -1.21438875e+01  4.65753508e+00
 -2.17556715e+00  5.67350626e+00 -4.05624294e+00 -6.62765622e-01
 -4.52690601e+00 -8.98969829e-01 -4.59362841e+00 -7.71830511e+00
  5.65572357e+00  1.41499968e+01  1.59635229e+01  2.77543831e+01
  2.25878258e+01  1.96356277e+01  3.08353162e+00  5.01052046e+00
 -6.80799603e-01  7.12720251e+00  6.01017094e+00  4.88139200e+00
 -1.31524909e+00 -5.91942631e-02  3.87304330e+00  4.47020626e+00
  1.07701433e+00  1.45325780e+00 -3.65812969e+00  3.80542302e+00]",angry
"[-4.0163382e+02  5.2279385e+01 -2.2117984e+00 -8.1025753e+00
 -1.8085684e+01 -4.3933191e+00 -1.6740105e+01 -2.3385718e+00
 -1.3118493e+01 -3.8030174e-01 -1.3415755e+01  7.3263741e+00
 -5.2686558e+00  4.3521070e+00  5.7235374e+00  2.1789894e+00
 -1.4413953e+00 -5.0163274e+00 -7.9952807e+00 -4.9588442e+00
 -1.2329668e+00  1.2937398e+01  1.3820430e+01  2.3185984e+01
  2.3259592e+01  2.2756203e+01  1.0278892e+01  8.0275888e+00
  1.9625611e+00  6.8651495e+00  7.8023152e+00  1.0708791e+01
  2.7239878e+00 -1.6402050e+00  1.1644975e+00  2.0625637e+00
  2.1819551e-01  3.4694364e+00 -4.9125466e+00  1.5868215e-01]",angry
"[-3.8204810e+02  4.3573055e+01 -1.3553434e+01 -1.6286751e+01
 -3.0309336e+00  6.6528926e+00 -2.6445765e+01 -3.4173152e+00
 -1.3213074e+01 -7.3448958e+00 -6.4511485e+00  5.7488103e+00
 -2.9808543e+00  9.5741768e+00 -3.6808660e+00  2.6657963e-01
 -3.1631756e+00 -5.5622468e+00 -4.8560510e+00 -1.2299354e+01
 -3.4691066e-01 -2.2148472e-01 -3.6686692e+00  1.5966740e+01
  2.1172529e+01  2.9829283e+01  2.8783125e+01  2.3471544e+01
  1.1829106e+01  8.6133041e+00  2.0994790e+00  1.0454166e+01
  6.7187614e+00  2.1448157e+00  1.8129096e+00  1.2448502e+00
 -1.2519636e+00  6.2519870e+00 -2.1102297e-01  2.3847909e+00]",angry
"[-4.3790390e+02  4.2264656e+01  1.3620999e+00  3.5311632e+00
  5.1343827e+00  2.0286295e+00 -2.0087540e+01 -8.0814606e-01
 -1.3935529e+01 -6.1155195e+00 -1.1707497e+01  8.8836498e+00
 -6.2539059e-01  6.0381656e+00  1.7872593e+00  9.3705183e-01
 -2.2569480e+00 -3.2633309e+00 -3.9473896e+00 -7.1476445e+00
 -3.9472754e+00 -1.1545533e+00 -5.8211102e+00  8.4582186e+00
  1.2474531e+01  2.3205208e+01  2.3663111e+01  2.7132612e+01
  1.6798908e+01  1.3286674e+01  7.2704425e+00  1.0845030e+01
  7.4102082e+00  4.4518018e+00  2.4712649e-01 -2.1322502e-01
 -5.3932363e-01  1.2446344e+01  1.2796637e+00  1.9925982e+00]",angry
"[-4.1154297e+02  4.1582382e+01 -5.3857532e+00 -5.6149263e+00
  5.4987669e+00 -5.8817863e-03 -2.5466782e+01 -4.1277404e+00
 -1.0292291e+01 -1.8263677e+00 -1.0792549e+01  8.6358719e+00
 -4.0621060e-01  8.6826906e+00 -3.4263992e+00 -2.2231784e+00
 -6.4574555e-03 -3.7628112e+00 -5.3976202e+00 -1.1218847e+01
 -4.5033628e-01  2.5019329e+00 -6.1622536e-01  1.6966236e+01
  2.0435591e+01  2.4608685e+01  1.9943871e+01  1.6467266e+01
  9.5549316e+00  9.2094059e+00  3.0480125e+00  8.6114798e+00
  5.8302445e+00  1.4248071e+00  4.6715441e+00  4.4881811e+00
  2.1240330e+00  6.1646376e+00 -8.4403414e-01  2.3507934e+00]",angry
"[-4.11157227e+02  4.25563240e+01 -7.73841095e+00 -7.61771536e+00
  2.33900189e+00  4.96562052e+00 -2.38789845e+01  2.67180562e-01
 -9.77724457e+00 -2.74587423e-01 -6.71530056e+00  4.52936935e+00
 -4.73000288e+00  8.63058758e+00 -4.22837639e+00 -2.26578712e+00
 -4.05502737e-01 -3.81791115e+00 -5.78877211e+00 -9.81372929e+00
  9.17005837e-01  1.09237795e+01  1.26946526e+01  2.72808952e+01
  2.86443596e+01  2.00105400e+01  8.81796265e+00  4.85050058e+00
 -3.90548873e+00  6.10654783e+00  7.37302113e+00  7.53368807e+00
  1.02964795e+00 -2.34239507e+00  3.60705447e+00  5.63331938e+00
  3.39104033e+00  1.15764761e+00 -4.22116661e+00  2.80082941e+00]",angry
"[-433.7352       25.739473      3.062353      3.9056118     9.095688
    2.448672    -17.858074      1.2873359   -11.9361515    -6.4678893
  -11.142982      4.320294     -2.324497      5.55964      -4.523639
    2.996596     -1.2141119    -2.06759      -1.4895914    -5.383531
    0.53741276    6.675113      2.533301     15.134547     17.481422
   22.680124     21.145416     20.421856      6.9985185     8.736166
   -2.996107      5.2442255     9.562124      1.4662107    -0.57809144
   -1.1575831     0.95600414    5.210464      3.1170757     2.6285338 ]",angry
"[-3.96939453e+02  5.82682686e+01 -1.41742249e+01 -1.23398371e+01
 -3.17509127e+00  4.67082548e+00 -2.05707722e+01 -1.44040096e+00
 -1.38169975e+01 -2.92481691e-01 -7.06902838e+00  3.80028677e+00
 -8.90225029e+00  2.44039035e+00 -3.83214045e+00  1.26229018e-01
 -2.20838332e+00 -2.06927872e+00 -4.64811659e+00 -1.28742895e+01
  2.59746522e-01  4.07610178e+00 -4.32647020e-01  1.89025230e+01
  2.28758278e+01  2.72543335e+01  2.32893639e+01  1.67853794e+01
 -2.18524122e+00  2.62446260e+00  1.49314773e+00  1.01905508e+01
  9.13160419e+00 -1.75318742e+00  1.44726443e+00  1.45294115e-01
  4.93695259e+00  8.07462311e+00 -4.07613230e+00 -1.64901483e+00]",angry
"[-3.9287308e+02  3.8937145e+01 -7.4722643e+00  1.6216130e+00
 -3.9028971e+00  1.8893610e+00 -2.5403725e+01 -1.2682412e+01
 -9.9319363e+00 -5.0354238e+00  3.3172960e+00  3.7004554e-01
  1.3025392e+00  2.3864143e+00 -1.5681107e-01  3.3966195e-02
 -3.5935311e+00 -2.1695530e+00 -5.7708840e+00 -9.8201656e+00
 -6.9027777e+00 -2.1964796e+00 -1.3501534e+00  1.9148731e+01
  2.1700752e+01  3.2518349e+01  2.6974331e+01  1.8063879e+01
  4.5497556e+00  1.6721259e+00  3.7008192e-02  5.5689287e+00
  9.2459612e+00  1.5610154e+00  1.6742644e+00  2.0212722e+00
  4.9339271e+00  8.0626411e+00 -8.5374117e-01 -3.1940444e+00]",angry
"[-4.6312259e+02  3.9617188e+01  1.2960988e+00  6.1543512e+00
  1.9046969e+00  4.7389245e+00 -1.8562853e+01  6.7106557e-01
 -9.8770037e+00 -2.2006457e+00 -8.2080784e+00  1.0034055e+01
  2.6237593e+00  6.3341022e+00  2.3968606e+00  2.2519484e-01
 -4.1796503e+00 -3.5360320e+00 -2.5974350e+00 -3.9531014e+00
  2.5952282e+00  4.4016333e+00 -2.5035357e+00  7.3754454e+00
  8.2254982e+00  1.4059148e+01  1.4679982e+01  2.1599697e+01
  1.6738564e+01  1.4806367e+01  1.0006852e+01  1.0090819e+01
  6.4398746e+00  7.1956501e+00  1.4411076e+00 -1.8278786e+00
  7.7185079e-02  9.0585585e+00  6.5396786e-01  3.0104225e+00]",angry
"[-4.5645599e+02  5.8814556e+01 -3.7119238e+00 -4.5177927e+00
 -6.0666184e+00  4.8900127e+00 -1.4068018e+01 -3.3691940e-01
 -1.1841374e+01 -2.8825717e+00 -8.1240740e+00  1.0031870e+01
 -1.5596192e+00  3.4120913e+00  1.3946667e+00 -1.9494335e-01
 -9.6649389e+00 -1.7658209e+00 -2.5841613e+00 -7.8977857e+00
 -2.3319736e+00 -1.1268039e+00 -3.1826937e+00  6.2589464e+00
  1.3380083e+01  2.2055561e+01  1.7557299e+01  2.1764818e+01
  1.1416353e+01  1.2990408e+01  1.1458125e+01  1.3479908e+01
  5.3698015e+00  3.4039686e+00  8.2695991e-01  6.7684168e-01
  2.7343469e+00  9.1068802e+00 -1.6856157e+00  2.8301773e+00]",angry
"[-386.65482      56.526325     -8.774638     -5.8351717   -14.848056
    8.443582    -19.034977    -12.233964    -15.175202     -7.7869797
    1.0310848     4.0624757     1.8216302    -1.1531268     3.3124146
    0.73605335   -6.7485776    -2.9195266    -3.0837622    -9.461566
   -5.582359     -2.4199932    -5.7426324    14.138188     13.315919
   23.71837      18.406914     20.34959      10.386115      8.545642
    5.872448      3.732833      8.74612       2.2335448     3.8226192
    3.384099      5.487609      7.692229      0.46505404    0.74047065]",angry
"[-4.0443625e+02  5.6880180e+01  2.4903479e+00 -2.9433429e+00
 -2.2685242e+01  1.5382241e-01 -1.8317854e+01 -7.9354944e+00
 -1.2758972e+01 -5.2415695e+00  5.9582300e-02 -7.4825561e-01
  1.9151464e+00  1.2666284e+00  3.2726557e+00  5.5584562e-01
 -5.0352211e+00 -2.1789105e+00 -5.3122740e+00 -1.2091637e+01
 -3.8418407e+00 -1.5043676e+00 -5.6250710e+00  1.6284264e+01
  1.6480444e+01  2.7991188e+01  2.3403049e+01  2.3268616e+01
  8.7138910e+00  3.6908660e+00  2.2353413e+00  5.6982369e+00
  8.2662210e+00  3.9120927e+00  5.5956440e+00  1.6546270e+00
  5.5226173e+00  9.6739435e+00  1.2176917e+00  8.7211514e-01]",angry
"[-3.9625629e+02  6.9655319e+01 -4.1237507e+00 -1.7717793e+01
 -1.4406414e+01  1.5778540e+00 -1.9181534e+01 -2.1714845e+00
 -1.6950283e+01 -3.8130790e-01 -1.2143980e+01  4.4903674e+00
 -1.5220104e-01  6.2467723e+00 -1.2904638e+00 -2.6607230e+00
 -4.5156116e+00 -2.2631044e+00 -7.0759854e+00 -1.3535868e+01
 -3.6212656e+00  6.2993855e+00  1.1064110e+00  1.8852077e+01
  2.6505926e+01  3.0289400e+01  2.2354919e+01  1.6334152e+01
  3.3234170e-01  3.4621794e+00  4.1578040e+00  7.3327613e+00
  6.8592739e+00 -4.1939325e+00  1.1761796e+00  1.1127883e+00
  1.1687163e+00  6.5553436e+00 -1.0719225e+00 -1.4795957e+00]",angry
